2 50000
1.6294 3.13564 1.82331 
1.38351 2.93847 3.93756 
1.10082 2.69995 4.9059 
1.14892 2.49579 4.07337 
1.28079 2.54694 2.78814 
1.34214 2.63475 2.43065 
1.51525 2.55771 2.74537 
1.22537 2.54728 3.35995 
1.1647 2.69309 2.90896 
0.959662 2.61467 2.49866 
0.935241 2.59724 2.05381 
1.00464 2.71861 2.52925 
0.718248 2.66078 2.94454 
0.70479 2.65542 2.17996 
1.11797 2.6967 3.9678 
1.1243 2.8824 2.83922 
0.930183 2.75673 2.35949 
0.786793 2.74617 1.76348 
0.887465 2.64359 2.41709 
1.04695 2.80646 3.09502 
0.921928 2.81481 1.34606 
1.02587 2.98438 2.61496 
1.39237 2.91977 2.78963 
1.15225 2.76951 2.8439 
1.28279 2.86346 1.67317 
1.13002 2.81218 1.39525 
0.86549 2.8479 2.0413 
0.786588 2.75136 1.96759 
0.8252 2.78689 1.62447 
0.71222 2.69556 2.29943 
0.889349 2.86399 3.35703 
0.955281 3.01898 2.34605 
1.01797 3.22755 3.53943 
1.21867 3.31655 2.77263 
1.2374 3.44269 3.3892 
1.18692 3.44226 3.13278 
1.14346 3.38458 3.04479 
1.01205 3.30669 2.88798 
1.13411 3.24196 2.2991 
0.892839 3.27562 2.654 
0.836515 3.20713 2.24378 
0.92496 3.24667 2.04148 
1.21343 3.22075 2.76578 
1.27388 3.3141 2.30819 
1.21436 3.28503 2.10302 
0.951329 3.26282 2.79278 
0.701501 3.25105 2.92202 
0.774326 3.20018 2.34818 
0.64387 3.20048 2.31629 
0.82071 3.16528 2.42392 
0.769282 3.26071 2.45261 
0.84306 3.39347 3.56228 
1.11117 3.27103 4.0307 
1.16769 3.21337 1.89315 
1.243 3.21405 1.60167 
1.24653 3.21586 1.5191 
1.18564 3.11257 1.90036 
1.03473 3.05765 1.51774 
1.22138 2.90719 2.4892 
1.22731 2.93787 0.923394 
1.37057 2.83022 1.77339 
1.52878 2.93341 1.92353 
1.77979 2.98078 2.32961 
1.88007 2.95295 2.08684 
1.77755 3.04143 2.46835 
1.8759 2.89694 3.09141 
1.84587 2.94963 2.1739 
1.80044 2.7513 3.9846 
1.7201 2.69556 2.356 
1.77083 2.73349 2.21423 
1.69599 2.92656 3.68874 
1.73091 3.00936 1.93315 
1.79763 3.05674 1.95303 
1.73716 3.09491 1.99816 
1.59051 3.11666 1.97372 
1.66635 3.07631 1.72281 
1.71347 3.00436 1.87947 
1.84077 3.05418 2.14689 
1.88736 3.07961 2.23066 
1.66925 3.02556 2.6122 
1.42568 2.96802 2.1367 
1.55785 2.94412 1.34727 
1.55664 3.01686 1.4881 
1.46451 3.09287 1.63952 
1.35767 3.08985 1.33327 
1.20208 3.10281 1.41693 
1.1599 2.9953 1.58317 
0.924878 3.10826 2.39283 
0.671967 3.11558 2.36857 
0.772725 3.06723 1.91807 
1.06005 3.02577 2.31615 
1.36984 2.89383 2.97557 
1.1634 3.00274 2.02516 
1.1981 2.97173 0.954399 
1.21745 2.891 1.20668 
1.30988 3.06274 2.49611 
1.26235 3.05371 1.04445 
1.25421 3.09787 1.13996 
1.11877 3.05616 1.35589 
1.18343 3.07456 1.08395 
1.05619 3.00182 1.44482 
1.05101 3.11352 1.68013 
0.793136 3.0315 2.41245 
0.784686 3.06197 1.46177 
0.801524 3.11282 1.63024 
0.960309 3.31645 4.22383 
0.904207 3.41327 3.16694 
0.910208 3.42059 3.04464 
1.10566 3.25505 4.23717 
1.02009 3.45013 4.44383 
0.949834 3.55439 4.399 
1.06841 3.47829 4.37319 
0.994015 3.44987 3.48247 
1.05361 3.46652 3.38281 
1.15313 3.30375 4.1121 
1.12927 3.43167 3.33056 
1.12699 3.27573 3.62623 
0.893115 3.32911 2.96248 
1.05502 3.00825 7.01498 
1.29123 2.98235 1.64118 
1.20782 3.06617 1.38273 
1.03212 3.0366 1.43161 
1.53972 2.88374 5.35044 
1.02438 2.75125 5.28711 
0.97634 2.8759 1.9366 
0.977811 2.84801 1.09638 
1.17821 2.82569 1.54163 
1.23515 2.74495 1.45788 
1.16407 2.71678 1.36741 
1.09354 2.80026 1.59631 
0.985611 2.85733 1.36333 
1.03886 2.72225 2.12755 
1.16556 2.82851 1.91578 
1.13297 2.78243 1.16191 
1.06646 2.88576 1.59619 
0.955503 2.9157 1.18085 
1.08357 2.83701 1.51568 
1.11089 2.90484 1.18483 
1.11232 2.97023 1.10794 
1.19439 2.91862 1.09694 
1.05268 2.84876 1.41775 
1.08697 2.92494 1.25041 
1.15594 2.84207 1.3248 
1.22806 2.87761 1.0595 
1.32842 3.01444 1.96388 
1.52691 2.8465 2.93797 
1.5248 2.81753 1.2981 
1.34324 2.88836 1.75661 
1.41425 2.9155 1.06966 
1.24355 2.88416 1.34932 
1.38247 2.96116 1.45287 
1.42513 3.07795 1.74878 
1.58377 3.08037 1.60327 
1.25907 3.01459 2.65826 
1.21842 2.98863 0.962072 
1.29114 3.00079 0.978571 
1.25062 3.02272 0.973224 
1.23964 2.98383 0.98835 
1.15182 2.89368 1.38057 
1.12598 2.86276 0.972526 
1.12861 2.91719 1.05801 
0.982485 2.87644 1.29833 
0.937858 2.90317 1.10676 
1.01644 2.86173 1.19723 
1.10313 2.96195 1.53436 
1.28473 3.05725 1.79155 
1.4055 3.04805 1.22576 
1.1283 3.03435 1.95662 
1.29971 2.99251 1.37933 
1.2959 2.88815 1.44796 
1.37714 2.77863 1.71452 
1.4094 2.81462 1.23305 
1.52069 2.99377 2.85165 
1.44739 3.11761 2.04465 
1.52034 3.31271 3.74551 
1.38159 3.38071 2.97421 
1.24478 3.3336 2.78959 
1.26233 3.38273 2.54705 
1.26283 3.42329 2.85657 
1.23048 3.47803 3.34447 
1.3197 3.45082 3.453 
1.17398 3.36763 3.44024 
1.21411 3.42279 2.87431 
1.34907 3.26754 3.78888 
1.59072 3.29282 2.85591 
1.79081 3.22681 3.13409 
1.66461 3.23384 2.54924 
1.54819 3.23499 2.23985 
1.57343 3.12151 2.37226 
1.68321 3.26498 3.11325 
1.56207 3.24202 2.4187 
1.50956 3.28801 2.23969 
1.51199 3.25655 2.14729 
1.43514 3.32464 2.46063 
1.4298 3.35761 2.48728 
1.32964 3.39952 2.86922 
1.22041 3.38362 2.84935 
1.03998 3.59284 6.17118 
1.10718 3.67587 5.58244 
1.01254 3.70392 6.04929 
1.057 3.66764 5.95288 
1.15442 3.77683 7.03128 
1.34921 3.6184 7.70779 
1.39561 3.60658 4.98126 
1.46369 3.52699 4.86129 
1.44514 3.43757 4.04774 
1.28375 3.41327 3.38273 
1.43116 3.25946 3.79638 
1.54112 3.07281 3.454 
1.27596 2.93351 2.8956 
1.12629 2.9535 1.17541 
1.12128 2.96965 0.903104 
1.14977 2.92905 0.975972 
1.12663 2.9511 0.912088 
1.05989 2.96334 0.967013 
1.0308 2.92033 1.038 
1.30443 2.87377 1.95157 
1.32306 2.75304 1.79266 
1.37571 2.75096 1.28221 
1.47643 2.79841 1.49387 
1.31945 2.7957 1.4712 
1.22957 2.69552 1.83588 
1.32644 2.88162 2.96777 
1.15769 2.81767 1.51862 
0.939361 2.81633 1.67336 
0.762212 2.93713 2.36637 
0.565299 2.93921 2.11961 
0.652984 2.83074 2.51055 
0.709738 2.85967 1.74282 
0.762594 2.7259 2.57414 
0.955593 2.86903 2.87086 
0.944961 2.8089 1.31201 
1.18535 2.88267 2.00897 
1.23299 2.829 1.1103 
1.18229 2.72903 1.64332 
1.05115 2.56747 3.19158 
0.705953 2.69063 4.28899 
0.811478 2.88311 3.61298 
0.934737 2.86787 1.39453 
0.664031 2.71487 3.60937 
0.717474 2.89214 3.34963 
0.495598 2.89714 2.44257 
0.508352 2.84612 2.32858 
0.517823 2.6026 5.53546 
0.695647 2.67048 3.25434 
0.573493 2.91501 5.12696 
0.977902 3.06698 4.61386 
0.794474 3.10933 1.83954 
0.71647 3.06911 1.74388 
0.678885 3.17568 2.41905 
0.81552 3.1674 2.12098 
0.885565 3.15739 1.69319 
1.03482 3.13689 1.70232 
0.787441 3.17967 2.37832 
0.840881 3.28808 2.6542 
1.10096 3.24707 2.89807 
1.30298 3.33775 2.90038 
1.17076 3.22084 2.80307 
1.24906 3.3427 2.73065 
1.05048 3.38449 3.04969 
0.993516 3.3023 2.7726 
1.01574 3.33601 2.3023 
0.885123 3.17081 3.49905 
0.622797 3.25409 3.27244 
0.658087 3.34536 3.27252 
0.730903 3.23221 3.33061 
0.556404 3.23779 2.83879 
0.561122 3.18147 2.75206 
0.560416 3.18337 2.39541 
0.620323 3.31817 3.66485 
0.569279 3.26982 3.08954 
0.490174 3.17488 3.28948 
0.537998 3.16972 2.61186 
0.526751 3.24423 2.95235 
0.724952 3.29348 3.31175 
1.00785 3.32105 3.40717 
1.06367 3.44969 3.57061 
0.950547 3.47714 3.58883 
1.0181 3.53293 4.02932 
1.00243 3.42299 4.137 
0.808044 3.23456 4.71134 
1.01499 2.98374 5.07221 
0.832576 2.90507 1.80777 
0.95731 2.76487 2.40921 
1.11695 2.88402 2.10439 
1.21887 2.87732 1.04 
1.28842 2.77518 1.58565 
1.36201 2.86232 1.49843 
1.20153 2.79754 1.5378 
1.04209 2.81375 1.38588 
1.06254 2.72434 1.60139 
0.918964 2.74027 1.64748 
1.11218 2.89154 2.73323 
1.24658 2.85499 1.2098 
1.32852 2.95924 1.53713 
1.39553 2.79166 2.45849 
1.27248 2.9463 2.36846 
1.45695 2.79711 2.54533 
1.30135 2.9121 1.9992 
1.54027 3.02806 2.41299 
1.45372 2.98993 1.31213 
1.41422 3.12278 2.04672 
1.12155 3.03167 2.55556 
0.834351 3.01254 2.12471 
0.778687 3.18215 2.99163 
0.772119 3.18355 1.82876 
0.721321 3.21107 2.06404 
0.759812 3.01799 3.60045 
0.582976 3.0259 2.06365 
0.728321 2.98615 2.03532 
0.662709 2.97683 1.61329 
0.540885 2.90519 2.26019 
0.481198 2.84803 2.3665 
0.438872 2.9306 2.70237 
0.668771 2.91803 2.65013 
0.723295 3.09483 3.19823 
0.751132 2.98663 2.12478 
0.693378 2.84685 2.50879 
0.68001 2.94475 2.06975 
0.88542 2.84568 2.3805 
0.745149 2.75815 2.07015 
0.773286 2.84749 1.96577 
0.987327 2.92217 2.03199 
1.13442 2.91594 1.20259 
1.28839 2.75297 2.61936 
1.15481 2.70716 1.60022 
1.04625 2.64282 1.88488 
1.05759 2.59769 1.94688 
0.949528 2.6179 2.12713 
1.05503 2.7514 2.60172 
1.03998 2.69767 1.49736 
1.08915 2.72979 1.46072 
1.03232 2.78291 1.40864 
0.842149 2.76645 1.77122 
0.80396 2.67849 2.07932 
0.903139 2.43056 5.75329 
0.973694 2.50163 3.3719 
0.980821 2.53059 2.64708 
0.94688 2.56965 2.46584 
1.16516 2.64757 2.81906 
0.93451 2.70054 2.3809 
0.846683 2.5998 2.48608 
0.687846 2.66567 2.74732 
0.878461 2.7915 2.99229 
1.11689 2.6741 2.78419 
1.19134 2.64289 1.70488 
1.1512 2.62992 1.72584 
1.33435 2.57901 2.43875 
1.37004 2.57201 2.1364 
1.29534 2.66212 2.33109 
1.3321 2.75165 1.815 
1.43008 2.85501 1.78874 
1.37869 2.77837 1.44919 
1.33885 2.81147 1.20232 
1.5199 2.79879 1.5977 
1.38409 2.76885 1.53693 
1.16483 2.57131 4.12601 
0.927124 2.55521 2.93095 
0.923672 2.6547 2.57347 
0.869092 2.58061 2.35765 
0.748407 2.66259 2.70469 
0.915526 2.84877 3.64349 
0.859104 2.84477 1.248 
1.30742 2.87405 3.5621 
1.21578 2.84628 1.08456 
1.42042 2.85176 1.51613 
1.46365 2.83959 1.1368 
1.39681 2.93257 1.53186 
1.20738 2.97082 1.42891 
1.39387 2.95583 1.35476 
1.24599 2.93306 1.21255 
1.36991 2.88236 1.23653 
1.43212 2.80756 1.39172 
1.5062 2.76758 1.42118 
1.64116 2.81651 1.78782 
1.5501 2.65963 3.00108 
1.58897 2.81065 2.78147 
1.27384 2.91096 2.83999 
1.44681 2.8145 1.84452 
1.29853 2.74734 1.68472 
1.25635 2.72537 1.3056 
1.5389 2.82389 2.72542 
1.69952 2.82994 1.7781 
1.63726 2.81839 1.62485 
1.53773 2.90866 1.85765 
1.69022 2.98025 1.8765 
1.84995 3.01613 2.14337 
1.59345 2.94799 2.67192 
1.36711 2.78334 3.1525 
1.55992 2.83679 1.82272 
1.5514 2.80939 1.36586 
1.54854 2.88834 1.5842 
1.38666 2.92558 1.47237 
1.13264 2.70099 4.4014 
1.48497 2.62473 3.4606 
1.62421 2.5427 2.92222 
1.43818 2.61234 3.01743 
1.2804 2.73832 2.68484 
1.39259 2.74039 1.44104 
1.40601 2.7012 1.48607 
1.2961 2.74372 1.60001 
1.12757 2.75263 1.56621 
0.961548 2.79855 1.63437 
1.04105 2.79205 1.2456 
0.989312 2.74063 1.39961 
0.866003 2.61981 2.60301 
1.0001 2.83301 3.99935 
1.02861 2.69039 2.28841 
0.83623 2.76774 2.23138 
0.810415 2.87997 2.0126 
0.864042 2.68048 3.50017 
0.808812 2.67332 1.87912 
0.636522 2.68228 2.46628 
0.501203 2.75992 2.88583 
0.364056 2.72507 3.06966 
0.463508 2.6785 3.23978 
0.540803 2.62327 3.12904 
0.78195 2.75727 3.84026 
0.937184 2.87714 2.34597 
1.19748 3.01197 2.69902 
1.4581 3.05564 1.94916 
1.45303 3.01683 1.19914 
1.5139 3.14953 2.20036 
1.54837 3.00762 2.36215 
1.51742 3.07678 1.50712 
1.39696 3.07023 1.3863 
1.25616 2.97369 1.69468 
1.30852 3.00596 0.99703 
1.32476 3.0843 1.31666 
1.43433 2.9542 2.01988 
1.18247 2.87722 2.01333 
0.907739 2.93232 2.05805 
0.929537 2.89333 1.16896 
0.837641 2.79161 1.85195 
1.20762 2.77587 2.92443 
0.910978 2.94639 3.571 
1.11217 2.76135 3.28132 
1.21126 2.72858 1.39514 
1.18458 2.78404 1.3387 
1.16995 2.79167 1.08615 
1.13852 2.73063 1.36511 
0.920549 2.78408 1.99511 
